Title,Description,Date,Company
"Closing Bell: Sensex, Nifty end higher amid volatility; IT shines","Top Nifty gainers included TCS, HCL Technologies, Infosys, Tech Mahindra and BPCL, while losers were Divis Labs, Hero MotoCorp, Coal India, ONGC and UltraTech Cement. Among sectors, except IT (up 1.5 percent), all other sectoral indices ended in the red capital goods, healthcare, oil & gas, metal, realty, pharma, media down 0.5-1 percent. The BSE midcap and smallcap indices down 0.5 percent each. 
",08/16/2024,"tata consultancy services, infosys, hcl technologies, tech mahindra"
"Nifty, Sensex plunge as all sectors slip in the red; Metal, bank stocks worst hit","Titan Company, Apollo Hospitals, Dr Reddy's Labs, Tata Consumer, HCL Tech were among major gainers on the Nifty 
",08/16/2024,hcl technologies
"Taking Stock: Market reacts to mixed macroeconomic data; Sensex down 693 pts, Nifty below 24,150","Titan Company, Apollo Hospitals, Dr Reddy's Labs, Tata Consumer, HCL Tech were among major gainers on the Nifty, while losers were Shriram Finance, BPCL, HDFC Life, HDFC Bank and Bajaj Finance 
",08/16/2024,hcl technologies
"Closing Bell: Nifty below 24,150, Sensex plunges 693 pts; all sectors in the red","Titan Company, Apollo Hospitals, Dr Reddy's Labs, Tata Consumer, HCL Tech were among major gainers on the Nifty, while losers are Shriram Finance, BPCL, HDFC Life, HDFC Bank and Bajaj Finance. All the sectoral indices ended in the red with bank, power, oil & gas, metal, media, telecom down 1 percent each.  BSE Midcap and Smallcap indices lost 1 percent each. 
",08/16/2024,hcl technologies
"Stock Radar: Vodafone Idea, Orchid Pharma, JSW Steel, FirstCry, Hindustan Copper, Power Grid in focus on Tuesday","NMDC, Housing & Urban Development Corporation, 63 Moons Technologies, Indian Railway Finance Corporation, Camlin Fine Sciences, Kotak Mahindra Bank, Wipro, and Aditya Birla Sun Life AMC will also be in focus on Tuesday. 
",08/16/2024,wipro technologies
"Taking Stock: Sensex, Nifty end flat amid Hindenburg allegations; smallcaps outperform","Hero MotoCorp, Axis Bank, ONGC, Infosys and JSW Steel were among the major gainers on the Nifty, while losers included NTPC, Britannia Industries, Adani Ports, SBI, and Dr Reddy's Labs. 
",08/16/2024,infosys
Market Meltdown: Top firms lose Rs 1.66 lakh crore; Reliance and LIC hit hardest,"State Bank of India saw its market value diminish by Rs 21,151.33 crore, bringing its total to Rs 7,35,566.52 crore. Infosys and Tata Consultancy Services (TCS) followed with declines of Rs 20,973.19 crore and Rs 19,157.77 crore, respectively, resulting in valuations of Rs 7,35,277.28 crore and Rs 15,30,469.11 crore. 
",08/16/2024,"tata consultancy services, infosys"
"Taking Stock: Market bounces back; Sensex rises 820 pts, Nifty above 24,350","Eicher Motors, ONGC, Tech Mahindra, Tata Motors and Shriram Finance were among the top gainers on the Nifty, while losers were BPCL, HDFC Life, Kotak Mahindra Bank, Divi's Labs and Sun Pharma. 
",08/16/2024,tech mahindra
"Nifty, Sensex rally as better-than-expected US job data eases recessionary fears; India VIX down 7%","Nifty IT was the brightest spark on the bourses, rising almost 2 percent backed by gains in Tech Mahindra, HCL Tech, and LTIMindtree. 
",08/16/2024,"hcl technologies, ltimindtree, tech mahindra"
"Closing Bell: Sensex gains 820 pts, Nifty above 24,350; all sectors in the green","Eicher Motors, ONGC, Tech Mahindra, Tata Motors and Shriram Finance were among the top gainers on the Nifty, while losers were BPCL, HDFC Life, Kotak Mahindra Bank, Divis Labs and Sun Pharma. All the sectoral indices are trading in the green with auto, capital goods, IT, power, realty, PSU Bank and media up 1-2 percent. Broader indices performed in line with main indices. BSE Midcap index up 1 percent and Smallcap index up 0.8 percent. 
",08/16/2024,tech mahindra
"Nifty, Sensex end lower as RBI maintains hawkish tone; IT, metal indices dampen sentiment","LTIMindtree, Grasim Industries, Asian Paints, Power Grid Corp and Infosys were among major losers on the Nifty on August 8 
",08/16/2024,"infosys, ltimindtree"
"Closing Bell: Nifty below 24,150, Sensex down 582 pts after RBI keep rates unchanged","LTIMindtree, Grasim Industries, Asian Paints, Power Grid Corp and Infosys were among major losers on the Nifty, while gainers included HDFC Life, Tata Motors, SBI Life Insurance, HDFC Bank and Cipla. On the sectoral front, except pharma, healthcare and media, all other indices ended in the red with metal, realty, oil & gas, information technology down 1-2 percent.  BSE Midcap index was down 0.4 percent and Smallcap index ended flat. 
",08/16/2024,"infosys, ltimindtree"
"Taking Stock: Market snaps 3-day losing streak, Nifty closes near 24,300; all eyes on RBI policy","Biggest Nifty gainers included Coal India, Adani Ports, Power Grid Corp, Cipla and Wipro, while losers were IndusInd Bank, Eicher Motors, Britannia, Tech Mahindra and Titan Company. 
",08/16/2024,"wipro technologies, tech mahindra"
Buy Tech Mahindra; target of Rs 1645: Geojit Financial Services,"Geojit Financial Services is bullish on Tech Mahindra has recommended buy rating on the stock with a target price of Rs 1645 in its research report dated August 07, 2024. 
",08/16/2024,tech mahindra
"Nifty, Sensex rebound, snap 3-day losing streak amid positive global cues","Britannia Industries, HCL Tech, Hero MotoCorp, Wipro and HUL were the top gainers on the Nifty. 
",08/16/2024,"wipro technologies, hcl technologies"
"Closing Bell: Nifty at 24,300, Sensex gains 875 pts; all eyes on RBI policy","Biggest Nifty gainers included Coal India, Adani Ports, Power Grid Corp, Cipla and Wipro, while losers were IndusInd Bank, Eicher Motors, Britannia, Tech Mahindra and Titan Company. All the sectoral indices ended in the green with metal, healthcare, media, power, telecom, oil & gas, capital goods up 2-3 percent. BSE Midcap index and Smallcap index up more 2 percent each. 
",08/16/2024,"wipro technologies, tech mahindra"
"Taking Stock: Market fails to hold gains; Nifty closes below 24,000, Sensex down 126 pts","HDFC Life, SBI Life Insurance, Shriram Finance, BPCL and SBI were among the top Nifty losers, while gainers included Britannia Industries, JSW Steel, HUL, L&T and Tech Mahindra. 
",08/16/2024,tech mahindra
"Sell Mphasis; target of Rs 2,020: ICICI Securities","ICICI Securities is bearish on Mphasis has recommended sell rating on the stock with a target price of Rs 2,020 in its research report dated July 28, 2024. 
",08/16/2024,mphasis
"Stock Radar: Infosys, SBI, Britannia Industries, Titan, Divis Lab, JK Tyres and others in focus","Infosys, SBI, Britannia Industries, Titan, Divis Lab, JK Tyres, Ambuja Cements, Tamilnad Mercantile Bank will be some of the stocks in focus on Monday, August 5, 2024. 
",08/16/2024,infosys
"Nifty hits 25,000 milestone for the first time, autos, Dabur in focus | Closing Bell","Nifty scales 25,000 in third-fastest 1,000-point rally on record. Latest 1,000-point rally has taken 24 trading sessions. Nifty is now up nearly 4,000 points from the June 4 low. Top contributors to 1000-pt rally - Infosys, HCLTech & ITC. ONGC, HDFC Life and SBI Life top gainers in this 1000-pt rally. Join Yatin Mota and Nandita Khemka as they dive into the key stocks currently on their radar. 
",08/16/2024,infosys
"Nifty tops 25000, Sensex gains as Street cheers Fed's rate cut hints; bullish trend to persist","Maruti Suzuki, Hindalco, JSW Steel, Coal India and ONGC were among major gainers on the Nifty, while losers were Hero MotoCorp, UltraTech Cement, Infosys, Sun Pharma and Asian Paints. 
",08/16/2024,infosys
"Stock Radar : Infosys, Balu Forge, IndiaMART, Oriental Rail Infrastructure, Macrotech Developers, and others in focus","Infosys, Balu Forge, IndiaMART, Oriental Rail Infrastructure, Macrotech Developers, Torrent Power, GAIL, Varun Beverages, Granules India, Exide Industries, Indian Oil Corporation, Tata Consumer, Dixon Technologies, Indus Towers, Manorama Industries, Star Health Insurance, Samvardhana Motherson, will be in focus on Wednesday. 
",08/16/2024,infosys
Neutral Tech Mahindra; target of Rs 1470: Motilal Oswal,"Motilal Oswal recommended Neutral rating on Tech Mahindra with a target price of Rs 1470 in its research report dated July 25, 2024. 
",08/16/2024,tech mahindra
"Mid-day Mood| Nifty, Sensex firmly in green as IT, Realty stocks shine; India VIX down 5%","The Nifty IT was the brightest spark, rising 2 percent in the afternoon after gains in TCS, Infosys, Wipro, Tech Mahindra and HCL Tech heavily contributed to upbeat sentiment. 
",08/17/2024,"tata consultancy services, infosys, wipro technologies, hcl technologies, tech mahindra"
"Closing Bell: Nifty at 24,540, Sensex rises 1,330 pts; Tech Mahindra, M&M, Tata Motors, Ultratech Cement top gainers","Sensex Today | Stock Market LIVE Updates: All stocks in the Sensex ended in the green, with Tech Mahindra, Mahindra & Mahindra, Tata Motors, Wipro, and LTIMindtree leading the gains. The BSE Midcap and Smallcap indices both rose by over 1.7%. Additionally, all sectoral indices traded positively, reflecting broad market strength. 
",08/17/2024,"wipro technologies, ltimindtree, tech mahindra"
"Taking Stock: Market breaks two-day fall as IT stocks outshine; mid, smallcaps down","Top Nifty gainers included TCS, HCL Technologies, Infosys, Tech Mahindra and BPCL, while losers were Divis Labs, Hero MotoCorp, Coal India, ONGC and UltraTech Cement. 
",08/17/2024,"tata consultancy services, infosys, hcl technologies, tech mahindra"
"Closing Bell: Sensex, Nifty end higher amid volatility; IT shines","Top Nifty gainers included TCS, HCL Technologies, Infosys, Tech Mahindra and BPCL, while losers were Divis Labs, Hero MotoCorp, Coal India, ONGC and UltraTech Cement. Among sectors, except IT (up 1.5 percent), all other sectoral indices ended in the red capital goods, healthcare, oil & gas, metal, realty, pharma, media down 0.5-1 percent. The BSE midcap and smallcap indices down 0.5 percent each. 
",08/17/2024,"tata consultancy services, infosys, hcl technologies, tech mahindra"
"Nifty, Sensex plunge as all sectors slip in the red; Metal, bank stocks worst hit","Titan Company, Apollo Hospitals, Dr Reddy's Labs, Tata Consumer, HCL Tech were among major gainers on the Nifty 
",08/17/2024,hcl technologies
"Taking Stock: Market reacts to mixed macroeconomic data; Sensex down 693 pts, Nifty below 24,150","Titan Company, Apollo Hospitals, Dr Reddy's Labs, Tata Consumer, HCL Tech were among major gainers on the Nifty, while losers were Shriram Finance, BPCL, HDFC Life, HDFC Bank and Bajaj Finance 
",08/17/2024,hcl technologies
"Closing Bell: Nifty below 24,150, Sensex plunges 693 pts; all sectors in the red","Titan Company, Apollo Hospitals, Dr Reddy's Labs, Tata Consumer, HCL Tech were among major gainers on the Nifty, while losers are Shriram Finance, BPCL, HDFC Life, HDFC Bank and Bajaj Finance. All the sectoral indices ended in the red with bank, power, oil & gas, metal, media, telecom down 1 percent each.  BSE Midcap and Smallcap indices lost 1 percent each. 
",08/17/2024,hcl technologies
"Stock Radar: Vodafone Idea, Orchid Pharma, JSW Steel, FirstCry, Hindustan Copper, Power Grid in focus on Tuesday","NMDC, Housing & Urban Development Corporation, 63 Moons Technologies, Indian Railway Finance Corporation, Camlin Fine Sciences, Kotak Mahindra Bank, Wipro, and Aditya Birla Sun Life AMC will also be in focus on Tuesday. 
",08/17/2024,wipro technologies
"Taking Stock: Sensex, Nifty end flat amid Hindenburg allegations; smallcaps outperform","Hero MotoCorp, Axis Bank, ONGC, Infosys and JSW Steel were among the major gainers on the Nifty, while losers included NTPC, Britannia Industries, Adani Ports, SBI, and Dr Reddy's Labs. 
",08/17/2024,infosys
Market Meltdown: Top firms lose Rs 1.66 lakh crore; Reliance and LIC hit hardest,"State Bank of India saw its market value diminish by Rs 21,151.33 crore, bringing its total to Rs 7,35,566.52 crore. Infosys and Tata Consultancy Services (TCS) followed with declines of Rs 20,973.19 crore and Rs 19,157.77 crore, respectively, resulting in valuations of Rs 7,35,277.28 crore and Rs 15,30,469.11 crore. 
",08/17/2024,"tata consultancy services, infosys"
"Taking Stock: Market bounces back; Sensex rises 820 pts, Nifty above 24,350","Eicher Motors, ONGC, Tech Mahindra, Tata Motors and Shriram Finance were among the top gainers on the Nifty, while losers were BPCL, HDFC Life, Kotak Mahindra Bank, Divi's Labs and Sun Pharma. 
",08/17/2024,tech mahindra
"Nifty, Sensex rally as better-than-expected US job data eases recessionary fears; India VIX down 7%","Nifty IT was the brightest spark on the bourses, rising almost 2 percent backed by gains in Tech Mahindra, HCL Tech, and LTIMindtree. 
",08/17/2024,"hcl technologies, ltimindtree, tech mahindra"
"Closing Bell: Sensex gains 820 pts, Nifty above 24,350; all sectors in the green","Eicher Motors, ONGC, Tech Mahindra, Tata Motors and Shriram Finance were among the top gainers on the Nifty, while losers were BPCL, HDFC Life, Kotak Mahindra Bank, Divis Labs and Sun Pharma. All the sectoral indices are trading in the green with auto, capital goods, IT, power, realty, PSU Bank and media up 1-2 percent. Broader indices performed in line with main indices. BSE Midcap index up 1 percent and Smallcap index up 0.8 percent. 
",08/17/2024,tech mahindra
"Nifty, Sensex end lower as RBI maintains hawkish tone; IT, metal indices dampen sentiment","LTIMindtree, Grasim Industries, Asian Paints, Power Grid Corp and Infosys were among major losers on the Nifty on August 8 
",08/17/2024,"infosys, ltimindtree"
"Closing Bell: Nifty below 24,150, Sensex down 582 pts after RBI keep rates unchanged","LTIMindtree, Grasim Industries, Asian Paints, Power Grid Corp and Infosys were among major losers on the Nifty, while gainers included HDFC Life, Tata Motors, SBI Life Insurance, HDFC Bank and Cipla. On the sectoral front, except pharma, healthcare and media, all other indices ended in the red with metal, realty, oil & gas, information technology down 1-2 percent.  BSE Midcap index was down 0.4 percent and Smallcap index ended flat. 
",08/17/2024,"infosys, ltimindtree"
"Taking Stock: Market snaps 3-day losing streak, Nifty closes near 24,300; all eyes on RBI policy","Biggest Nifty gainers included Coal India, Adani Ports, Power Grid Corp, Cipla and Wipro, while losers were IndusInd Bank, Eicher Motors, Britannia, Tech Mahindra and Titan Company. 
",08/17/2024,"wipro technologies, tech mahindra"
Buy Tech Mahindra; target of Rs 1645: Geojit Financial Services,"Geojit Financial Services is bullish on Tech Mahindra has recommended buy rating on the stock with a target price of Rs 1645 in its research report dated August 07, 2024. 
",08/17/2024,tech mahindra
"Nifty, Sensex rebound, snap 3-day losing streak amid positive global cues","Britannia Industries, HCL Tech, Hero MotoCorp, Wipro and HUL were the top gainers on the Nifty. 
",08/17/2024,"wipro technologies, hcl technologies"
"Closing Bell: Nifty at 24,300, Sensex gains 875 pts; all eyes on RBI policy","Biggest Nifty gainers included Coal India, Adani Ports, Power Grid Corp, Cipla and Wipro, while losers were IndusInd Bank, Eicher Motors, Britannia, Tech Mahindra and Titan Company. All the sectoral indices ended in the green with metal, healthcare, media, power, telecom, oil & gas, capital goods up 2-3 percent. BSE Midcap index and Smallcap index up more 2 percent each. 
",08/17/2024,"wipro technologies, tech mahindra"
"Taking Stock: Market fails to hold gains; Nifty closes below 24,000, Sensex down 126 pts","HDFC Life, SBI Life Insurance, Shriram Finance, BPCL and SBI were among the top Nifty losers, while gainers included Britannia Industries, JSW Steel, HUL, L&T and Tech Mahindra. 
",08/17/2024,tech mahindra
"Sell Mphasis; target of Rs 2,020: ICICI Securities","ICICI Securities is bearish on Mphasis has recommended sell rating on the stock with a target price of Rs 2,020 in its research report dated July 28, 2024. 
",08/17/2024,mphasis
"Stock Radar: Infosys, SBI, Britannia Industries, Titan, Divis Lab, JK Tyres and others in focus","Infosys, SBI, Britannia Industries, Titan, Divis Lab, JK Tyres, Ambuja Cements, Tamilnad Mercantile Bank will be some of the stocks in focus on Monday, August 5, 2024. 
",08/17/2024,infosys
"Nifty hits 25,000 milestone for the first time, autos, Dabur in focus | Closing Bell","Nifty scales 25,000 in third-fastest 1,000-point rally on record. Latest 1,000-point rally has taken 24 trading sessions. Nifty is now up nearly 4,000 points from the June 4 low. Top contributors to 1000-pt rally - Infosys, HCLTech & ITC. ONGC, HDFC Life and SBI Life top gainers in this 1000-pt rally. Join Yatin Mota and Nandita Khemka as they dive into the key stocks currently on their radar. 
",08/17/2024,infosys
"Nifty tops 25000, Sensex gains as Street cheers Fed's rate cut hints; bullish trend to persist","Maruti Suzuki, Hindalco, JSW Steel, Coal India and ONGC were among major gainers on the Nifty, while losers were Hero MotoCorp, UltraTech Cement, Infosys, Sun Pharma and Asian Paints. 
",08/17/2024,infosys
"Stock Radar : Infosys, Balu Forge, IndiaMART, Oriental Rail Infrastructure, Macrotech Developers, and others in focus","Infosys, Balu Forge, IndiaMART, Oriental Rail Infrastructure, Macrotech Developers, Torrent Power, GAIL, Varun Beverages, Granules India, Exide Industries, Indian Oil Corporation, Tata Consumer, Dixon Technologies, Indus Towers, Manorama Industries, Star Health Insurance, Samvardhana Motherson, will be in focus on Wednesday. 
",08/17/2024,infosys
